feature,id,X,Y
A,1,33473547.35,3058867.741
B,2,33473439.26,3059069.005
A,3,33473832.96,3059281.053
A,4,33474083.22,3059457.01
C,5,33474129.65,3059811.87
A,6,33474473.37,3059958.419
C,7,33474386.98,3060215.306
C,8,33474682.42,3060563.177
C,9,33474979.84,3060937.456
C,10,33475327.23,3061187.98
C,11,33475319.16,3061676.316
B,12,33475769.91,3061507.66
C,13,33476341.45,3061907.325
C,14,33475741.12,3062114.879
C,15,33476671.91,3062381.359
C,16,33477254.62,3062446.554
C,17,33477662.65,3062712.807
C,18,33477994.9,3062927.465
C,19,33478263.12,3063127.604
C,20,33478593.36,3063490.508
D,21,33470188.81,3050810.258
E,22,33469814.27,3050852.504
D,23,33469346.6,3050828.545
D,24,33468946.56,3051150.069
D,25,33469700.33,3051198.973
E,26,33470509.22,3051742.595
D,27,33468768.61,3051586.955
D,28,33470241.81,3051381.686
E,29,33469686,3051697.139
E,30,33469879.14,3052031.501
E,31,33469846.9,3052184.759
D,32,33468699.91,3051931.38
E,33,33471121.11,3052115.941
D,34,33470680.42,3052066.478
D,35,33470876.08,3051491.117
E,36,33471890.69,3052057.595
D,37,33468511.87,3052256.131
E,38,33471368.81,3051979.4
D,39,33473999.75,3052634.657
E,40,33473550,3052521.92
E,41,33471950.65,3052584.542
D,42,33468502.33,3052606.541
D,43,33468999.42,3052565.807
E,44,33472819.11,3052489.136
D,45,33468228.92,3052733.328
D,46,33470262.97,3052667.271
E,47,33470635.25,3052686.112
E,48,33474279.61,3052922.866
E,49,33471066.94,3052646.39
E,50,33469810.47,3052621.198
D,51,33469496.38,3052420.548
E,52,33471932.5,3052949.441
E,53,33469278.55,3052147.312
E,54,33473218.57,3052568.318
E,55,33473750.85,3052990.606
E,56,33472639.47,3053050.252
D,57,33468108.18,3053037.578
E,58,33472969.71,3052988.001
E,59,33469074.48,3053106.658
D,60,33468983.76,3053269.177
E,61,33472189.83,3053336.139
D,62,33468819.71,3053412.977
D,63,33467807.38,3053360.698
E,64,33470325.88,3053437.203
E,65,33471538.64,3053437.087
F,66,33474501.39,3053361.67
E,67,33472617.11,3053665.784
E,68,33472166.94,3053680.255
E,69,33470997.95,3053404.228
E,70,33470533.33,3053314.727
E,71,33472947.34,3053689.123
E,72,33470608.22,3053811.116
E,73,33473274.52,3053700.892
D,74,33468261.02,3053674.154
E,75,33473476.18,3053679.982
E,76,33470066.21,3053534.348
F,77,33473834.33,3053500.43
E,78,33472072.9,3053880.434
E,79,33469728.1,3053642.734
C,80,33475317.05,3053865.853
E,81,33469128.13,3053875.978
E,82,33468004.64,3054057.151
F,83,33473381.52,3054108.876
E,84,33468788.56,3054064.901
D,85,33467354.69,3053563.235
F,86,33470664.66,3054104.799
C,87,33474228.42,3053973.039
C,88,33474792.59,3053909.408
E,89,33472114.33,3054133.866
E,90,33472636.5,3054154.906
F,91,33469827.57,3054280.844
F,92,33473881.1,3054426.479
D,93,33468337.4,3054447.636
C,94,33479101.97,3054670.317
F,95,33473295.73,3054598.6
C,96,33474264.45,3054661.287
D,97,33468692.86,3054676.899
E,98,33469342.7,3054557.705
C,99,33475483.7,3054414.581
F,100,33472245.05,3054632.694
C,101,33478676.71,3054747.79
F,102,33470437.87,3054423.927
F,103,33470326.94,3054785.732
F,104,33472850.62,3054748.039
F,105,33471162.87,3054272.746
A,106,33478344.42,3054879.43
E,107,33469713.98,3054844.553
G,108,33471651.88,3054569.931
C,109,33475890.97,3054657.626
C,110,33479337.31,3054981.306
C,111,33474574.46,3054854.801
D,112,33468936.29,3055048.078
F,113,33471279.78,3054661.99
B,114,33478895.45,3055041.959
E,115,33469940.06,3055100.637
C,116,33475009.06,3054820.155
H,117,33478005.7,3055150.576
G,118,33471821.86,3055040.63
F,119,33470475.43,3055181.563
B,120,33476564.69,3055286.41
C,121,33476160.15,3054989.492
C,122,33473868.68,3055102.422
B,123,33478623.55,3055227.629
B,124,33479055.92,3055238.602
G,125,33472652.76,3055123.625
C,126,33475199.35,3055180.646
C,127,33471960.88,3055311.306
G,128,33472507.12,3055297.987
B,129,33477673.09,3055380.855
C,130,33473055.75,3055155.605
B,131,33471028.16,3055510.047
E,132,33469898.58,3055459.032
H,133,33476803.12,3055531.628
C,134,33478567.91,3055450.565
G,135,33471414.77,3055260.855
A,136,33475862.93,3055608.274
G,137,33472552.1,3055593.252
I,138,33479797.3,3055639.944
G,139,33471898.62,3055588.46
I,140,33479474.97,3055499.744
C,141,33475284.83,3055502.831
E,142,33469265.15,3055451.968
C,143,33473635.42,3055557.041
I,144,33484165.5,3055608.725
B,145,33477746.11,3055781.341
C,146,33476122.07,3055807.1
C,147,33476236.11,3055482.997
B,148,33473305.63,3055265.963
F,149,33470580.72,3055525.107
I,150,33476654.46,3055771.452
G,151,33471848.22,3055777.345
C,152,33474136.03,3055373.872
C,153,33475409,3055814.695
I,154,33480136.89,3055764.503
A,155,33477450.1,3055824.53
H,156,33476535.03,3055818.003
A,157,33476013.14,3055931.831
I,158,33477843.66,3056137.361
G,159,33472489.66,3055961.615
C,160,33478528.75,3055799.024
A,161,33476498.27,3055968.404
B,162,33470997.08,3055832.809
F,163,33469984.41,3055850.159
B,164,33479321.55,3055989.336
H,165,33476403.69,3056124.188
C,166,33474325.95,3055736.53
C,167,33472624.72,3055893.016
B,168,33479661.43,3055928.755
H,169,33477321.94,3056208.09
A,170,33478096.82,3055830.648
C,171,33473105.52,3056057.55
G,172,33471757.71,3056066.252
B,173,33470990.38,3056138.599
C,174,33475512.29,3056382.318
B,175,33477168.48,3056340.509
C,176,33473801.12,3055985.191
C,177,33484004.28,3056170.973
C,178,33483595.4,3055997.047
F,179,33470366.11,3056092.603
A,180,33475596.24,3056161.13
G,181,33478849.57,3056076.094
G,182,33472375.84,3056198.391
H,183,33476024.19,3056306.624
C,184,33474652.95,3056088.378
B,185,33480032.89,3056191.98
C,186,33484848.81,3056197.269
H,187,33475568.8,3056502.762
I,188,33480551.5,3056184.175
C,189,33484155.12,3056395.783
B,190,33472839.53,3056402.33
B,191,33473286.09,3055970.658
G,192,33479064.17,3056272.447
F,193,33470513.57,3056469.766
B,194,33473511.62,3056248.887
C,195,33482980.01,3056281.656
B,196,33480340.55,3056399.874
C,197,33478509.11,3056389.214
E,198,33489883.96,3056036.857
B,199,33476966.12,3056646.364
C,200,33474754.62,3056442.526
B,201,33471325.12,3056486.51
I,202,33477764.96,3056584.288
G,203,33471939.9,3056436.185
B,204,33478118.35,3056390.921
C,205,33485763.45,3056500.708
G,206,33472213.24,3056516.948
G,207,33479336.83,3056483.396
B,208,33478018.3,3056653.117
C,209,33475114.35,3056523.803
C,210,33473195.23,3056653.65
C,211,33471634.61,3056791.723
D,212,33490236.32,3056061.461
H,213,33476055.68,3056870.515
B,214,33480380.52,3056798.886
B,215,33472424.09,3056767.348
C,216,33473483.9,3056739.374
C,217,33486770.55,3056779.4
C,218,33486372.07,3056700.577
C,219,33474189.57,3056574.318
C,220,33473105.26,3056971.452
E,221,33469766.25,3056321.372
H,222,33475582.09,3056943.081
B,223,33476831.1,3056959.924
G,224,33479669.73,3056693.575
B,225,33477251.6,3056936.546
B,226,33478765.19,3056955.434
F,227,33470840.74,3056791.406
C,228,33484688.8,3056785.518
C,229,33485269.55,3056668.439
B,230,33477638.05,3056889.684
F,231,33483276.93,3056866.504
G,232,33479929.89,3056953.874
E,233,33489253.92,3056673.494
B,234,33478446.94,3056751.889
B,235,33477307.96,3057145.366
C,236,33473304.01,3057179.738
B,237,33478045.6,3056981.487
C,238,33480683.48,3056758.712
A,239,33473030.93,3057191.922
E,240,33489584.59,3056576.226
C,241,33484343.8,3057005.507
F,242,33470457.52,3056989.799
E,243,33490151.57,3056975.345
F,244,33489014.38,3057065.514
C,245,33487454.39,3056976.532
C,246,33474622.32,3056982.555
B,247,33472449.4,3057160.418
C,248,33483852.89,3056927.385
C,249,33472838.47,3056913.015
C,250,33475123.2,3057021.69
B,251,33477774.96,3057233.297
B,252,33480650.58,3057171.386
B,253,33473726.15,3056832.49
C,254,33473808.53,3057052.356
I,255,33478545.14,3057295.744
A,256,33473281.87,3057381.961
B,257,33485931.33,3057205.715
B,258,33477206.28,3057328.759
C,259,33481723.14,3057147.848
B,260,33471899.9,3057129.822
F,261,33482488.87,3057300.216
C,262,33471206.95,3057155.239
I,263,33475508.85,3057312.885
B,264,33476884.62,3057457.072
F,265,33483451.86,3057304.465
I,266,33480573.65,3057360.619
C,267,33487080.25,3057182.953
F,268,33486563.28,3057264.718
C,269,33488503.9,3057322.886
D,270,33483009,3057113.134
C,271,33479157.89,3057001.469
F,272,33470279.29,3057283.422
G,273,33480131.5,3057340.137
B,274,33478921.14,3057296.031
C,275,33478241.4,3057473.099
A,276,33474776.75,3057559.948
I,277,33479368.71,3057594.684
E,278,33490478.92,3057445.917
I,279,33479100.11,3057455.744
F,280,33485060.69,3057449.202
F,281,33489077.63,3057562.934
C,282,33470947.14,3057511.429
F,283,33485927.9,3057690.561
B,284,33471781.15,3057503.244
G,285,33479851.03,3057605.997
F,286,33484449.11,3057520.317
B,288,33477809.17,3057636.434
C,289,33476775.33,3057668.193
B,290,33474341.54,3057772.111
C,291,33478574.68,3057773.361
B,292,33470726.98,3057758.245
E,293,33489687.67,3057678.018
F,294,33488315.89,3057752.339
C,295,33472324.92,3057714.697
A,296,33474263.16,3057940.113
C,297,33478460.36,3057948.634
C,298,33481421.29,3057513.321
C,299,33471590.32,3057797.106
C,300,33487786.39,3057571.009
C,301,33473149.03,3057688.472
A,302,33475363.13,3057933.522
E,303,33482844.12,3057679.806
A,304,33476348.42,3057835.234
F,305,33487020.6,3057815.855
F,306,33483512.36,3057788.049
A,307,33475073.14,3057875.565
B,308,33474041.97,3057991.211
I,309,33477183.57,3057925.301
B,310,33479204.37,3057917.7
I,311,33480737.27,3057787.74
B,312,33478001.64,3058043.549
C,313,33480119.09,3057928.05
I,314,33481092.28,3058058.95
E,315,33485653.22,3058081.843
F,316,33487402.26,3057975.721
A,317,33487750.24,3058164.738
D,318,33483432.69,3058014.268
D,319,33491156.18,3057828.613
C,320,33482343.04,3057831.504
I,321,33477418.45,3058156.851
F,322,33483995.41,3057912.838
C,323,33471577.91,3058133.311
E,324,33485124.57,3058066.207
C,325,33476585.14,3058271.695
B,326,33475916.47,3058283.07
C,327,33487340.87,3058402.726
E,328,33490124.78,3057982.472
G,329,33481014.71,3058388.176
E,330,33486036.64,3058111.474
I,331,33474873.77,3058259.978
C,332,33481826.73,3058097.721
E,333,33484525.78,3058157.258
A,334,33474113.56,3058377.454
B,335,33473769.11,3058307.63
C,336,33474574.67,3058418.771
E,337,33490809.34,3058134.058
B,338,33471164,3058285.339
I,339,33477757.47,3058374.576
E,340,33489023.01,3058118.338
C,341,33479735.94,3058317.417
C,342,33480430.87,3058284.813
C,343,33472864.89,3058194.528
F,344,33488622.46,3058396.239
C,345,33479288.81,3058299.472
E,346,33489604.85,3058355.146
E,347,33483216.5,3058350.673
C,348,33472444,3058376.271
D,349,33487092.46,3058438.846
D,350,33484870.67,3058587.813
C,351,33472122.56,3058550.714
F,352,33481519.41,3058526.798
C,353,33476871.01,3058535.399
I,354,33475309.62,3058624.011
C,355,33478619.58,3058392.318
D,356,33486132.19,3058452.324
C,357,33479966.14,3058609.128
E,358,33483940.33,3058625.357
C,359,33477791.23,3058629.481
D,360,33491267.1,3058572.837
C,361,33476240.14,3058598.756
C,362,33482570.97,3058503.645
I,363,33476055.56,3058388.952
F,364,33482995.04,3058756.19
C,365,33471654.91,3058753.492
C,366,33477157.22,3058815.74
D,367,33485405.17,3058719.465
F,368,33481191.27,3058748.438
C,369,33480764.29,3058780.81
C,370,33472409.69,3058945.444
C,371,33478231.94,3058755.596
G,372,33478979.6,3058754.024
F,373,33488164.41,3058485.001
C,374,33474055.43,3058794.916
C,375,33482147.77,3058676.406
C,376,33480355.67,3058891.256
D,377,33484488.13,3058961.479
E,378,33490506.87,3058662.887
C,379,33475955.6,3058971.608
C,380,33477143.36,3059086.212
D,381,33486698.83,3058879.473
C,382,33479657.72,3058973.283
E,383,33489537.41,3058939.176
E,384,33490243.19,3058930.873
F,385,33481748.45,3059006.664
E,386,33487187.51,3058873.513
C,387,33476483.84,3059171.107
F,388,33488861.37,3058974.777
G,389,33479154.95,3059107.918
E,390,33487806.85,3058735.123
C,391,33477785.72,3059098.628
E,392,33486201.02,3059040.542
C,393,33478601.26,3059104.036
E,394,33487256.56,3059366.937
C,395,33474816.26,3059045.887
E,396,33483646.74,3059171.778
F,397,33481858.09,3059309.376
F,398,33482868.4,3059194.082
F,399,33481365.52,3059226.737
G,400,33476038.16,3059282.369
D,401,33484909.23,3059276.496
B,402,33478225.24,3059165.649
F,403,33488263.2,3059135.752
F,404,33480980.13,3059348.814
G,405,33479406.07,3059410
C,406,33476904.27,3059429.43
E,407,33489328.62,3059361.309
E,408,33486705.88,3059506.286
F,409,33481822.86,3059547.863
C,410,33477362.92,3059371.518
D,411,33490754.3,3059267.896
E,412,33489881.29,3059068.463
E,413,33483977.94,3059537.479
D,414,33485828.37,3059386.011
G,415,33475893.44,3059467.78
E,416,33487863.84,3059580.404
C,417,33475003.47,3059550.985
F,418,33482125.01,3059668.043
B,419,33478301.48,3059641.495
D,420,33489932.12,3059682.708
C,421,33477585.28,3059619.777
C,422,33474357.35,3059460.633
D,423,33486233.58,3059865.255
E,424,33489108.35,3059847.908
F,425,33483046.24,3059679.149
C,426,33477737.68,3059898.269
C,427,33478192.74,3059911.062
F,428,33480871.03,3059778.875
F,429,33481588.63,3059885.752
F,430,33480457.39,3059891.255
E,431,33487063.58,3059855.001
D,432,33490280.74,3059729.08
F,433,33476973.04,3059861.468
D,434,33484907.72,3059810.482
F,435,33480188.44,3059687.58
G,436,33479165.07,3059844.247
F,437,33482060.09,3060009.07
E,438,33484383.64,3059921.661
C,439,33475591.53,3059908.422
F,440,33488394.11,3059638.991
F,441,33479610.76,3059889.844
C,442,33475221.32,3059831.843
E,443,33481152.85,3060090.744
F,444,33476614.68,3060029.911
E,445,33483853.25,3060172.141
F,446,33488640.88,3059756.079
E,447,33482493.72,3060051.643
F,448,33487892.79,3060133.444
D,449,33489759.93,3060141.758
F,450,33483355.09,3060108.582
F,451,33479066.17,3060141.153
F,452,33476902.46,3060307.783
G,453,33477649.51,3060259.646
E,454,33489047.37,3060295.229
E,455,33482769.82,3060380.502
E,456,33481488.49,3060227.102
G,457,33478470.51,3060410.327
G,458,33478105.12,3060383.736
C,459,33475393.83,3060332.005
E,460,33484542.26,3060492.22
E,461,33481011.05,3060464.247
F,462,33477366.3,3060562.373
D,463,33485250.31,3060457.929
C,464,33476279.08,3060505.111
E,465,33483695.58,3060588.318
D,466,33487030.15,3060379.084
C,467,33489270.4,3060628.881
C,468,33475843.16,3060321.052
E,469,33488720.18,3060708.923
C,470,33476063.42,3060420.742
E,471,33487200.02,3060610.285
E,472,33480909.43,3060907.562
F,473,33478969.37,3060613.084
E,474,33479601.42,3060681.961
D,475,33486311.28,3060535.001
D,476,33480065.03,3060733.198
E,477,33484846.72,3060837.524
E,478,33480326.61,3060606.969
E,479,33483206.5,3060741.458
C,480,33476710.52,3060703.391
E,481,33482946.9,3060855.773
D,482,33489795.2,3060752.815
E,483,33482376.95,3060817.845
E,484,33483988.74,3060858.685
F,485,33477636.85,3060896.791
D,486,33485803.05,3061054.659
F,487,33488062.2,3060870.871
F,488,33478838.87,3061079.426
E,489,33479572.25,3061158.423
D,490,33483057.31,3061266.005
E,491,33488544.98,3061104.964
C,492,33476228.43,3061059.264
C,493,33476869.69,3061043.534
D,494,33485377.64,3061153.056
F,495,33477867.39,3061058.571
C,496,33477001.57,3061285.936
E,497,33484176.36,3061194.093
F,498,33478221.98,3061164.489
E,499,33487251.06,3061237.401
E,500,33483460,3061349.461
E,501,33479819.93,3061449.045
E,502,33484939.72,3061311.571
D,503,33481604.4,3061010.455
E,504,33488455.22,3061469.012
F,505,33478865.53,3061491.193
E,506,33484267.23,3061547.421
D,507,33481208.92,3061434.077
D,508,33483253.49,3061689.136
D,509,33482135.63,3061284.507
E,510,33487645.37,3061063.056
D,511,33480284.24,3061404.529
D,512,33485653.6,3061676.421
D,513,33480724.13,3061742.355
D,514,33486166.07,3061514.561
D,515,33486821.67,3061567.358
C,516,33476998.16,3061658.603
D,517,33489143.55,3061383.411
E,518,33482921.81,3061925.005
D,519,33482443.01,3061621.97
F,520,33478948.15,3061847.504
